"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20634","Login with an invalid username and a valid password","","Sun Jan 05 12:05:05 IST 2025","passed","Sun Jan 05 12:05:25 IST 2025","","","",""
"","21518","Leaving username blank and password blank","","Sun Jan 05 12:05:25 IST 2025","passed","Sun Jan 05 12:05:47 IST 2025","","","",""
"","21141","Login with an invalid username and password","","Sun Jan 05 12:04:28 IST 2025","passed","Sun Jan 05 12:04:49 IST 2025","","","",""
"","17486","Attempt to change password that does not meet security norms","","Sun Jan 05 12:09:51 IST 2025","passed","Sun Jan 05 12:10:08 IST 2025","","","",""
"","31107","Change password and auto-logout","","Sun Jan 05 12:10:08 IST 2025","passed","Sun Jan 05 12:10:39 IST 2025","","","",""
"","28964","Attempt to change password with mismatched new and confirm password","","Sun Jan 05 12:08:59 IST 2025","passed","Sun Jan 05 12:09:28 IST 2025","","","",""
"","27732","Reject Weak Passwords","","Sun Jan 05 12:07:14 IST 2025","passed","Sun Jan 05 12:07:42 IST 2025","","","",""
"","28822","Validate Email Format","","Sun Jan 05 12:08:07 IST 2025","passed","Sun Jan 05 12:08:36 IST 2025","","","",""
"","22238","Attempt to change password with blank fields","","Sun Jan 05 12:09:28 IST 2025","passed","Sun Jan 05 12:09:51 IST 2025","","","",""
"","15337","Login with a valid username and incorrect password","","Sun Jan 05 12:04:49 IST 2025","passed","Sun Jan 05 12:05:05 IST 2025","","","",""
"","32571","Handling Empty Input Fields","","Sun Jan 05 12:06:42 IST 2025","passed","Sun Jan 05 12:07:14 IST 2025","","","",""
"","54774","Create a New Platform Admin","","Sun Jan 05 12:05:47 IST 2025","passed","Sun Jan 05 12:06:42 IST 2025","","","",""
"","25115","Detect Mismatched Passwords","","Sun Jan 05 12:07:42 IST 2025","passed","Sun Jan 05 12:08:07 IST 2025","","","",""
"","11828","Login with valid credentials","","Sun Jan 05 12:04:16 IST 2025","passed","Sun Jan 05 12:04:28 IST 2025","","","",""
"","23474","Check for Duplicate Users","","Sun Jan 05 12:08:36 IST 2025","passed","Sun Jan 05 12:08:59 IST 2025","","","",""
